frame_index,timestamp_s,timestamp_hms,count_car,count_bus,count_truck,count_2w,count_3w,count_other,total_count,density
198,6.5953589617183965,0:00:06,7,2,0,13,9,0,31,0.5166666666666667
199,6.628668855464449,0:00:06,8,3,0,13,9,0,33,0.55
200,6.661978749210501,0:00:06,6,3,0,13,9,0,31,0.5166666666666667
201,6.6952886429565535,0:00:06,6,3,0,12,9,0,30,0.5
202,6.728598536702606,0:00:06,7,3,0,14,9,0,33,0.55
203,6.761908430448659,0:00:06,7,4,0,15,9,0,35,0.5833333333333334
204,6.795218324194711,0:00:06,6,3,0,14,9,0,32,0.5333333333333333
205,6.828528217940764,0:00:06,7,3,0,14,9,0,33,0.55
206,6.861838111686816,0:00:06,7,3,0,14,9,0,33,0.55
207,6.895148005432869,0:00:06,8,4,0,13,9,0,34,0.5666666666666667
208,6.928457899178921,0:00:06,7,3,0,14,9,0,33,0.55
209,6.961767792924974,0:00:06,8,3,0,14,9,0,34,0.5666666666666667
210,6.995077686671026,0:00:06,10,3,0,15,9,0,37,0.6166666666666667
211,7.028387580417078,0:00:07,9,3,0,14,9,0,35,0.5833333333333334
212,7.0616974741631315,0:00:07,8,3,0,13,9,0,33,0.55
213,7.095007367909184,0:00:07,7,4,0,12,9,0,32,0.5333333333333333
214,7.128317261655236,0:00:07,7,4,0,14,9,0,34,0.5666666666666667
215,7.1616271554012885,0:00:07,8,3,0,13,9,0,33,0.55
216,7.194937049147342,0:00:07,8,3,0,12,9,0,32,0.5333333333333333
217,7.228246942893394,0:00:07,7,3,0,12,9,0,31,0.5166666666666667
218,7.261556836639446,0:00:07,9,4,0,15,9,0,37,0.6166666666666667
219,7.294866730385499,0:00:07,9,5,0,14,10,0,38,0.6333333333333333
220,7.328176624131551,0:00:07,7,6,0,14,10,0,37,0.6166666666666667
221,7.361486517877604,0:00:07,6,7,1,15,10,0,39,0.65
222,7.394796411623656,0:00:07,6,6,0,15,10,0,37,0.6166666666666667
223,7.428106305369709,0:00:07,7,5,1,15,10,0,38,0.6333333333333333
224,7.461416199115761,0:00:07,7,6,1,14,10,0,38,0.6333333333333333
225,7.494726092861814,0:00:07,7,9,1,14,9,0,40,0.6666666666666666
226,7.5280359866078665,0:00:07,6,7,4,14,9,0,40,0.6666666666666666
